Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",0.119,0.118,0.087,0.124,0.093,0.120,0.118,0.112,0.129,0.105,0.114,0.089,0.113,0.113,0.130,0.095,0.086,0.115,0.116,0.111,0.135,0.106,0.118,0.095,0.107,0.110,0.115,0.114,0.108,0.115,0.136,0.110,0.116
"Bolivia","America","BOL","National","BOLt","Total",0.051,0.052,0.053,0.050,0.049,0.048,0.048,0.049,0.048,0.045,0.046,0.048,0.043,0.045,0.047,0.047,0.050,0.049,0.049,0.050,0.042,0.049,0.052,0.048,0.053,0.049,0.044,0.050,0.053,0.050,0.042,0.049,0.038
"Bosnia and Herzegovina","Europe","BIH","National","BIHt","Total",0.032,0.042,0.033,0.035,0.033,0.046,0.043,0.037,0.036,0.045,0.031,0.047,0.044,0.032,0.046,0.045,0.038,0.040,0.039,0.044,0.052,0.026,0.035,0.041,0.052,0.037,0.042,0.039,0.043,0.042,0.035,0.041,0.034
"Botswana","Africa","BWA","National","BWAt","Total",0.013,0.018,0.009,0.016,0.012,0.016,0.017,0.017,0.015,0.014,0.025,0.021,0.010,0.011,0.016,0.013,0.020,0.011,0.016,0.018,0.017,0.018,0.012,0.013,0.020,0.009,0.014,0.021,0.013,0.012,0.016,0.021,0.017
"Brazil","America","BRA","National","BRAt","Total",0.044,0.048,0.049,0.044,0.050,0.051,0.051,0.049,0.046,0.048,0.051,0.045,0.046,0.044,0.049,0.047,0.048,0.044,0.051,0.054,0.046,0.052,0.041,0.048,0.045,0.043,0.044,0.046,0.047,0.043,0.045,0.045,0.047
"Brunei Darussalam","Asia/Pacific","BRN","National","BRNt","Total",0.083,0.098,0.085,0.090,0.084,0.102,0.110,0.084,0.095,0.104,0.094,0.095,0.069,0.081,0.076,0.077,0.088,0.117,0.126,0.093,0.119,0.110,0.104,0.101,0.103,0.097,0.090,0.113,0.102,0.089,0.105,0.112,0.124
"Bulgaria","Europe","BGR","National","BGRt","Total",0.020,0.028,0.021,0.021,0.023,0.028,0.026,0.028,0.027,0.027,0.016,0.023,0.029,0.023,0.023,0.034,0.024,0.025,0.020,0.025,0.028,0.020,0.023,0.023,0.036,0.025,0.025,0.026,0.027,0.022,0.023,0.029,0.019
"Burkina Faso","Africa","BFA","National","BFAt","Total",0.018,0.021,0.023,0.018,0.025,0.021,0.019,0.021,0.022,0.024,0.021,0.020,0.018,0.025,0.015,0.018,0.019,0.018,0.019,0.019,0.024,0.016,0.023,0.018,0.018,0.022,0.020,0.020,0.023,0.022,0.024,0.016,0.022
"Burundi","Africa","BDI","National","BDIt","Total",0.069,0.072,0.068,0.062,0.073,0.062,0.061,0.072,0.064,0.056,0.051,0.065,0.061,0.052,0.057,0.059,0.069,0.064,0.059,0.065,0.064,0.072,0.067,0.064,0.065,0.065,0.061,0.065,0.071,0.071,0.070,0.065,0.065
"Cambodia","Asia/Pacific","KHM","National","KHMt","Total",0.052,0.053,0.048,0.056,0.052,0.053,0.061,0.052,0.056,0.069,0.064,0.056,0.050,0.057,0.047,0.052,0.057,0.063,0.061,0.059,0.056,0.057,0.058,0.062,0.051,0.046,0.060,0.063,0.059,0.048,0.053,0.059,0.068
"Cameroon","Africa","CMR","National","CMRt","Total",0.072,0.067,0.070,0.072,0.075,0.072,0.069,0.066,0.064,0.074,0.067,0.063,0.066,0.064,0.066,0.061,0.059,0.067,0.062,0.064,0.061,0.062,0.064,0.067,0.069,0.063,0.068,0.066,0.064,0.073,0.062,0.060,0.059
"Canada","America","CAN","National","CANt","Total",0.029,0.027,0.026,0.028,0.028,0.027,0.029,0.028,0.027,0.030,0.028,0.026,0.028,0.028,0.028,0.030,0.028,0.029,0.029,0.028,0.029,0.030,0.029,0.029,0.030,0.028,0.029,0.028,0.029,0.030,0.029,0.029,0.030
"Cape Verde","Africa","CPV","National","CPVt","Total",0.006,0.003,0.002,0.003,0.003,0.005,0.004,0.003,0.003,0.008,0.007,0.004,0.003,0.005,0.005,0.005,0.005,0.004,0.007,0.007,0.010,0.005,0.007,0.009,0.004,0.008,0.009,0.002,0.003,0.003,0.007,0.004,0.005
"Central African Republic CAR","Africa","CAF","National","CAFt","Total",0.051,0.052,0.052,0.048,0.054,0.052,0.051,0.048,0.045,0.049,0.045,0.040,0.042,0.043,0.041,0.042,0.042,0.042,0.039,0.041,0.044,0.038,0.040,0.040,0.040,0.038,0.041,0.039,0.036,0.040,0.036,0.033,0.035
"Chad","Africa","TCD","National","TCDt","Total",0.017,0.021,0.020,0.017,0.026,0.023,0.023,0.020,0.023,0.025,0.018,0.019,0.017,0.021,0.017,0.021,0.017,0.018,0.019,0.016,0.021,0.017,0.020,0.017,0.018,0.015,0.018,0.017,0.019,0.022,0.016,0.014,0.018
"Chili","America","CHL","National","CHLt","Total",0.040,0.044,0.044,0.044,0.042,0.039,0.036,0.052,0.031,0.037,0.044,0.045,0.049,0.040,0.041,0.046,0.047,0.035,0.042,0.044,0.038,0.039,0.042,0.038,0.042,0.042,0.033,0.045,0.041,0.036,0.038,0.032,0.037
"China","Asia/Pacific","CHN","National","CHNt","Total",0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,0.100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","TWN","National","TWNt","Total",,,,,,,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,
"China","Asia/Pacific","CHN","National","CHNt","Total",,,,,,,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,
