"","Interaction term","Std. Err.","Estimate","Confidence Low","Confidence High","Estimate prev. year","Estimate Diff.","Std. Err. Diff","Confidence Low Diff","Confidence High Diff"
"1","EUETS:2012",0.0151345502816706,-0.0627668454814038,-0.0329998487088362,-0.0925338422539715,NA,-0.0627668454814038,0.0151345502816706,-0.0329998487088362,-0.0925338422539715
"2","EUETS:2013",0.017553667912492,-0.0665315813285915,-0.0320066059330097,-0.101056556724173,-0.0627668454814038,-0.00376473584718769,0.0231772705340915,0.041820876169364,-0.0493503478637394
"3","EUETS:2014",0.0206560636401841,-0.0653061017272731,-0.0246792599468484,-0.105932943507698,-0.0665315813285915,0.00122547960131844,0.0271072724981579,0.0545407138136633,-0.0520897546110264
"4","EUETS:2015",0.0183722804604609,-0.0745616425783893,-0.0384266003740906,-0.110696684782688,-0.0653061017272731,-0.00925554085111616,0.027644414524912,0.0451161571926097,-0.063627238894842
"5","EUETS:2016",0.017901978720717,-0.127115295491632,-0.0919052540378376,-0.162325336945427,-0.0745616425783893,-0.0525536529132428,0.0256519303646887,-0.00210082054196391,-0.103006485284522
"6","EUETS:2017",0.0195045384181641,-0.0568006680324719,-0.018438673699078,-0.0951626623658658,-0.127115295491632,0.0703146274591602,0.0264746645119942,0.122385633099663,0.0182436218186574
"7","EUETS:2018",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","EUETS:2019",0.0226121222843697,-0.0980142882802819,-0.0535402234066846,-0.142488353153879,0,-0.0980142882802819,0.0226121222843697,-0.0535402234066846,-0.142488353153879
